customer_id,customer_name,customer_mobile,frequency
TpM2Dz4ek,tom.TpM2Dz4ek,+886920775588,15
SXa24VPSo,peter.SXa24VPSo,+886910035913,6
KdMU1JZIB,rex.KdMU1JZIB,+886919304279,9
N9ab6CMz0,mark.N9ab6CMz0,+886944994507,16
YtTzX9Xb0,mark.YtTzX9Xb0,+886993236157,15
oBxKPOKRV,rex.oBxKPOKRV,+886999955299,18
yEclAgBRY,vivian.yEclAgBRY,+886983979655,12
vw0E1ZB9P,hank.vw0E1ZB9P,+886927375666,16
G1Qg65w2I,vivian.G1Qg65w2I,+886949036671,14
CbgKszJwC,mark.CbgKszJwC,+886910331696,12
AtrxsKOZx,mark.AtrxsKOZx,+886985430257,9
MWD27fnaR,tom.MWD27fnaR,+886962524709,7
haNXjIJl3,mark.haNXjIJl3,+886926779030,2
t0sh3FbLb,ting.t0sh3FbLb,+886969386253,8
RkgVTUPvP,kevin.RkgVTUPvP,+886940076741,3
WQj29krzf,kevin.WQj29krzf,+886930070551,18
cMgWgnJkj,kevin.cMgWgnJkj,+886921320694,17
bV1EXN9Re,clara.bV1EXN9Re,+886930781302,8
xpmxXA1xk,mark.xpmxXA1xk,+886993495365,9
Pxvnr2pRL,mark.Pxvnr2pRL,+886908948604,11
BN2GGTzMq,ting.BN2GGTzMq,+886964483525,10
icbySSWhN,clara.icbySSWhN,+886996763440,19
UXLkMGKpU,tom.UXLkMGKpU,+886934510656,13
oRS3QF77e,tom.oRS3QF77e,+886989367553,19
u7TWj7y8O,vivian.u7TWj7y8O,+886920897331,0
FmCyGIjy5,vivian.FmCyGIjy5,+886954325521,10
gK2pJOXWL,mark.gK2pJOXWL,+886956255192,13
QYx7Th0wQ,vivian.QYx7Th0wQ,+886910630186,12
o5SEtC0Bl,clara.o5SEtC0Bl,+886929158145,17
MUGc28srb,clara.MUGc28srb,+886933924697,3
pErrKMNu6,hank.pErrKMNu6,+886904977048,3
thxAknkOf,mark.thxAknkOf,+886930075742,1
tkfWxp9i1,mark.tkfWxp9i1,+886939773819,2
zTmv7W6mf,hank.zTmv7W6mf,+886996899334,14
pi6WQOyEX,kevin.pi6WQOyEX,+886944204810,7
VApgZfnkh,vivian.VApgZfnkh,+886997318186,0
MlEJCfKHH,peter.MlEJCfKHH,+886920701280,13
X06A1CF8H,vivian.X06A1CF8H,+886965039970,9
XriOk7E0g,mark.XriOk7E0g,+886981890666,4
QCG5Sw9Pm,clara.QCG5Sw9Pm,+886975339100,8
vf86iELwn,mark.vf86iELwn,+886921422914,18
NJFFD3w4x,ting.NJFFD3w4x,+886996076541,5
fopM6m5ol,kevin.fopM6m5ol,+886951069539,13
mZW0etJc0,ting.mZW0etJc0,+886963091786,11
gJRc56vEH,vivian.gJRc56vEH,+886942844665,16
awBC0DS9I,mark.awBC0DS9I,+886921875012,16
i6wTCuxA5,hank.i6wTCuxA5,+886949313612,12
Mq56loUc5,hank.Mq56loUc5,+886925024183,15
bf7VA4qWo,mark.bf7VA4qWo,+886949784879,6
erttlyxKB,hank.erttlyxKB,+886972572934,12
m7nNRSi2O,rex.m7nNRSi2O,+886913115595,3
KvVvJ7qqs,ting.KvVvJ7qqs,+886950101628,9
iGVUjBYqs,hank.iGVUjBYqs,+886994548378,10
LhlrrDnXy,tom.LhlrrDnXy,+886924875360,17
rB6LJvg26,mark.rB6LJvg26,+886994605520,14
EP8N9G8zM,clara.EP8N9G8zM,+886918905993,1
lBfsJlvAl,clara.lBfsJlvAl,+886947132826,18
flWIO155X,mark.flWIO155X,+886990619855,4
R8GIprmFp,tom.R8GIprmFp,+886988665651,13
hRSqmdYai,kevin.hRSqmdYai,+886973788561,10
GilLx5isN,clara.GilLx5isN,+886969530341,19
gVLHbVmCD,clara.gVLHbVmCD,+886945186750,8
MSocnYUpj,vivian.MSocnYUpj,+886962038041,13
kj1tyWrRu,ting.kj1tyWrRu,+886976970057,6
NVSMxfuni,peter.NVSMxfuni,+886946375591,14
DZGnTcyr2,hank.DZGnTcyr2,+886978576780,2
d3aD1SRPO,mark.d3aD1SRPO,+886972119938,5
qHVrFLuO9,mark.qHVrFLuO9,+886937648843,11
LxmlM2y7O,tom.LxmlM2y7O,+886917107783,7
Gz3q4QXU5,mark.Gz3q4QXU5,+886975732428,15
PcEnyxk5F,rex.PcEnyxk5F,+886925317803,12
YWREJzhjQ,kevin.YWREJzhjQ,+886900783025,1
qNejw2y9j,peter.qNejw2y9j,+886920682848,18
RpqRk20Uf,hank.RpqRk20Uf,+886926849611,18
g95gaKD8W,rex.g95gaKD8W,+886918557947,5
PRTd44orU,peter.PRTd44orU,+886926222287,13
a3lhz8VbG,hank.a3lhz8VbG,+886939839019,12
somJw4HBz,kevin.somJw4HBz,+886990750493,9
scx0Hh6JQ,vivian.scx0Hh6JQ,+886947734716,17
QsUqW6ZTF,rex.QsUqW6ZTF,+886999598212,1
PBuRecqgZ,mark.PBuRecqgZ,+886956243235,7
DM5fiXLtQ,clara.DM5fiXLtQ,+886904864488,9
FnHVeP7zs,tom.FnHVeP7zs,+886985980447,9
IwUZ4bvk3,clara.IwUZ4bvk3,+886997463908,9
GOWZMWM9Z,tom.GOWZMWM9Z,+886997121748,11
Gyrl6U3yX,kevin.Gyrl6U3yX,+886993111524,11
F6LbK0r5N,tom.F6LbK0r5N,+886926932114,10
TR7Ljge5Y,rex.TR7Ljge5Y,+886929578521,15
prL0xIcFf,peter.prL0xIcFf,+886996715655,17
xO7H2VEl5,ting.xO7H2VEl5,+886940785775,7
HtJktsUQz,mark.HtJktsUQz,+886953819803,16
nDjL20Xuh,clara.nDjL20Xuh,+886989302404,4
CC3qkpUsS,tom.CC3qkpUsS,+886995044960,13
GQNLwyFAO,vivian.GQNLwyFAO,+886938735927,6
BFYzjyocD,rex.BFYzjyocD,+886940007933,13
pIKWqgCdp,kevin.pIKWqgCdp,+886947642949,7
ceQlHoWRe,clara.ceQlHoWRe,+886949934664,3
v4ygCinqh,vivian.v4ygCinqh,+886961940157,11
GYLakLbhV,peter.GYLakLbhV,+886969650297,9
cSplEJk63,clara.cSplEJk63,+886926636143,14
QdUQnPTLT,rex.QdUQnPTLT,+886997577722,5
ah1aR9T1D,mark.ah1aR9T1D,+886907410757,6
d6KplstNf,clara.d6KplstNf,+886916343433,13
tDf6RuJeV,peter.tDf6RuJeV,+886959326695,5
kpettBi6l,vivian.kpettBi6l,+886927966538,7
wfnH6OwqZ,ting.wfnH6OwqZ,+886984488904,7
MAbcIZhI0,hank.MAbcIZhI0,+886939069175,16
xIRfuposn,mark.xIRfuposn,+886998353948,10
xvs9jykzS,vivian.xvs9jykzS,+886979707923,0
Aki29dDvQ,clara.Aki29dDvQ,+886921271486,7
USUiyVFdC,mark.USUiyVFdC,+886998604003,13
SzeID2ATg,peter.SzeID2ATg,+886915614118,0
ZMcSaP04h,kevin.ZMcSaP04h,+886981391625,18
LkHUv7sFJ,tom.LkHUv7sFJ,+886959504386,17
vKazkZ6lH,clara.vKazkZ6lH,+886992321099,4
FBan8ZzMp,mark.FBan8ZzMp,+886941031821,14
csNWf7TpB,rex.csNWf7TpB,+886941279279,5
finbpjQrP,vivian.finbpjQrP,+886976804386,10
jRZHTaUbH,hank.jRZHTaUbH,+886981894317,18
ERd4rEp0J,mark.ERd4rEp0J,+886908103007,14
gxGZ9ptFi,hank.gxGZ9ptFi,+886956752375,10
JdaTPKcUD,mark.JdaTPKcUD,+886924226719,9
KTNDzBPdn,clara.KTNDzBPdn,+886937121113,1
UkCbPZGDU,hank.UkCbPZGDU,+886986829402,10
kQCTSQDrp,mark.kQCTSQDrp,+886926570698,11
jy5w6HhOJ,ting.jy5w6HhOJ,+886952159693,8
VRW7wjuzJ,hank.VRW7wjuzJ,+886978327957,10
vMlNSdmqZ,mark.vMlNSdmqZ,+886907742219,4
vOXCeED72,mark.vOXCeED72,+886996948867,1
NEiJ6ZXkJ,hank.NEiJ6ZXkJ,+886952843031,3
Pr40GAaWw,kevin.Pr40GAaWw,+886977886425,13
YSjgTzneY,ting.YSjgTzneY,+886956542197,9
sbAzWtuvj,peter.sbAzWtuvj,+886986799772,14
PmE0aGRvy,vivian.PmE0aGRvy,+886904263331,2
mTQesFdXD,mark.mTQesFdXD,+886933640597,12
xsE4qYPOv,rex.xsE4qYPOv,+886962279409,14
rYl4aUVuR,ting.rYl4aUVuR,+886903487764,6
salbYJEsZ,peter.salbYJEsZ,+886920141971,14
uavEDsMsd,mark.uavEDsMsd,+886979166508,0
kX3DSXlzB,rex.kX3DSXlzB,+886924034491,9
E7kwjLgkq,clara.E7kwjLgkq,+886978004628,7
n3UbcGexE,peter.n3UbcGexE,+886959437674,8
bZzCgCFhW,rex.bZzCgCFhW,+886904064500,8
cs2msz1Vk,kevin.cs2msz1Vk,+886925955061,0
uRGJG3FfY,rex.uRGJG3FfY,+886998342954,6
ydusfKAWm,vivian.ydusfKAWm,+886918044245,18
VcLsZBKXL,clara.VcLsZBKXL,+886955297987,5
YxSmG4v5X,vivian.YxSmG4v5X,+886958902793,17
D7tlNExcA,hank.D7tlNExcA,+886931156389,16
dYpNe5C8a,mark.dYpNe5C8a,+886990319657,8
auxotJ7RA,hank.auxotJ7RA,+886923815820,2
yCaocPAOc,ting.yCaocPAOc,+886929679524,10
rdbGy11tl,vivian.rdbGy11tl,+886942211461,13
Xue53ZFBT,clara.Xue53ZFBT,+886950360819,7
tINkaU4uw,hank.tINkaU4uw,+886945128856,16
Y48RnSiYJ,mark.Y48RnSiYJ,+886979530197,17
YjHyS64A1,mark.YjHyS64A1,+886973211231,4
BOVCxPvHk,clara.BOVCxPvHk,+886979543423,18
Eq2OYiyLW,clara.Eq2OYiyLW,+886928163744,3
av0sRF91p,mark.av0sRF91p,+886967561462,0
jAmn2YZHO,peter.jAmn2YZHO,+886952647330,4
XGHtNDlSV,rex.XGHtNDlSV,+886962901158,5
dfSmAnuWS,mark.dfSmAnuWS,+886944579831,7
mjev2DXWm,mark.mjev2DXWm,+886967935452,9
WfBoWcGBC,ting.WfBoWcGBC,+886926637942,15
wh2b5ywMD,peter.wh2b5ywMD,+886960100659,19
Vi3wBAvbD,tom.Vi3wBAvbD,+886928277447,7
Sqg1YfyZL,peter.Sqg1YfyZL,+886944399834,5
udl9sf7Mi,tom.udl9sf7Mi,+886972202336,3
lZLpqx2OF,mark.lZLpqx2OF,+886996083406,11
WwEjn4vRX,peter.WwEjn4vRX,+886939297279,9
s8GTtfc4h,peter.s8GTtfc4h,+886974973149,17
yfiwFPTTX,kevin.yfiwFPTTX,+886957658869,2
kFiLHfXjf,clara.kFiLHfXjf,+886991673156,0
j3EuWr3TL,ting.j3EuWr3TL,+886998394356,13
COTwrs4cf,vivian.COTwrs4cf,+886913790022,2
XcQGLTFWM,vivian.XcQGLTFWM,+886966091018,4
zshvt9bG6,mark.zshvt9bG6,+886927488006,1
zu0zbLAuy,tom.zu0zbLAuy,+886941161813,19
B0UqS0dnc,rex.B0UqS0dnc,+886908768488,18
lP6Pf4Ivm,mark.lP6Pf4Ivm,+886965473081,15
LotbEtlgo,tom.LotbEtlgo,+886962288885,14
YZv2NbH24,kevin.YZv2NbH24,+886904699399,9
I0PsmNWdQ,clara.I0PsmNWdQ,+886959615589,14
OBq9d95Mb,peter.OBq9d95Mb,+886965763563,15
WwESPvrDs,hank.WwESPvrDs,+886977631215,19
cdAh2ebKx,tom.cdAh2ebKx,+886901521198,16
ie32dS2A1,clara.ie32dS2A1,+886905334444,16
N8rpDZfk5,peter.N8rpDZfk5,+886941940478,14
GWGtvRt79,mark.GWGtvRt79,+886905605066,13
MqX26tJng,hank.MqX26tJng,+886984830594,9
s3KIW8hCw,ting.s3KIW8hCw,+886977428160,16
qDuZ1Qch8,peter.qDuZ1Qch8,+886922867793,11
mOH7ayj7L,rex.mOH7ayj7L,+886968916863,8
gFBqPA5B8,kevin.gFBqPA5B8,+886933730204,8
nqdl1mxld,hank.nqdl1mxld,+886924843859,2
jpCljp8LH,mark.jpCljp8LH,+886932611205,12
XC4NyRnac,mark.XC4NyRnac,+886989711175,16
Z7OXgDnkd,ting.Z7OXgDnkd,+886932145559,5
PfKYZsGpg,clara.PfKYZsGpg,+886994689729,17
WzKNediaE,hank.WzKNediaE,+886985661507,14
L7WFFHWye,hank.L7WFFHWye,+886930809635,19
zprGWcD8q,ting.zprGWcD8q,+886999163343,6
ELLVgaPj9,vivian.ELLVgaPj9,+886908250680,19
rxM6uc6C4,vivian.rxM6uc6C4,+886964770540,15
DUv2fZrfB,mark.DUv2fZrfB,+886904860932,18
zU7sw4yYb,peter.zU7sw4yYb,+886974364639,1
ytBoJVmlk,clara.ytBoJVmlk,+886929740300,10
gCQ8qPBSl,clara.gCQ8qPBSl,+886946515087,4
fR9dsMSnk,mark.fR9dsMSnk,+886993954738,19
dTWu9pWWB,kevin.dTWu9pWWB,+886913811060,16
vBSKBUQ1W,mark.vBSKBUQ1W,+886913308867,9
O8YB4SLxq,tom.O8YB4SLxq,+886974045467,4
t0xJ0P5he,mark.t0xJ0P5he,+886963504215,11
qaPt9m1aA,kevin.qaPt9m1aA,+886955117760,7
CmrHYY0Ev,tom.CmrHYY0Ev,+886900129251,11
uhmemnPHz,ting.uhmemnPHz,+886986613691,0
eQFdi9YmD,mark.eQFdi9YmD,+886940023811,2
CdA1OtzRh,clara.CdA1OtzRh,+886996028099,9
QiF8jLvLr,hank.QiF8jLvLr,+886932200398,4
kjefcvg8Z,tom.kjefcvg8Z,+886978690191,16
TA3YS7QLr,tom.TA3YS7QLr,+886995216378,3
hCfK6j3Rk,mark.hCfK6j3Rk,+886913056927,7
YLm0k8Gev,mark.YLm0k8Gev,+886948139007,10
cgAFUmMQA,kevin.cgAFUmMQA,+886961021508,5
aOxT5GoMx,kevin.aOxT5GoMx,+886968208955,16
Q2TbNe4J0,clara.Q2TbNe4J0,+886909819481,4
fdSooD1VD,kevin.fdSooD1VD,+886933981116,2
qTvjnWyoq,rex.qTvjnWyoq,+886924704275,2
DFXScPTxM,mark.DFXScPTxM,+886991538661,6
rgVBKO7cU,tom.rgVBKO7cU,+886969365363,0
XrkJDmKI8,peter.XrkJDmKI8,+886910688371,12
htLEsLvHx,mark.htLEsLvHx,+886925391672,14
HYdUpfPdE,kevin.HYdUpfPdE,+886944856892,1
k9xwQWMQC,tom.k9xwQWMQC,+886993068363,3
L0TmJRCBv,rex.L0TmJRCBv,+886942021845,13
pTBwnCCCy,peter.pTBwnCCCy,+886943234243,10
Fp2d3h3aJ,rex.Fp2d3h3aJ,+886906763365,9
iFpifx3qH,vivian.iFpifx3qH,+886975794736,19
TJ2cxDHLq,clara.TJ2cxDHLq,+886926623791,12
zYlA6x2tT,vivian.zYlA6x2tT,+886918920734,3
l9qfPsAdd,rex.l9qfPsAdd,+886981712760,18
rJHESfoHJ,mark.rJHESfoHJ,+886993196487,6
qLyKZcUBY,mark.qLyKZcUBY,+886911896601,9
yKKJ12wOU,hank.yKKJ12wOU,+886929163057,19
fIZ2rhfTu,mark.fIZ2rhfTu,+886932160390,9
yMMu0Zc00,ting.yMMu0Zc00,+886989821428,11
IcQWc2dun,rex.IcQWc2dun,+886948788560,1
BAlJbK71w,ting.BAlJbK71w,+886965880237,10
RfmvKnjMX,rex.RfmvKnjMX,+886936467074,3
Dj5zbUG7i,mark.Dj5zbUG7i,+886996163802,1
NJvjUOEI5,mark.NJvjUOEI5,+886929840585,8
XHz24CCaq,kevin.XHz24CCaq,+886903914464,17
UczHfnwBr,kevin.UczHfnwBr,+886965936395,18
CMB2ZCWyG,ting.CMB2ZCWyG,+886986464125,6
r5muvLE6G,mark.r5muvLE6G,+886908290630,16
fdcNfCkvS,peter.fdcNfCkvS,+886951302369,17
zbOpcYRzy,peter.zbOpcYRzy,+886914320542,19
VoEVf0gJi,clara.VoEVf0gJi,+886917176926,7
XTvXUYDvc,kevin.XTvXUYDvc,+886978432033,5
hmQklRG2F,mark.hmQklRG2F,+886912756667,13
qiZHXyV0l,kevin.qiZHXyV0l,+886988322123,7
fZ8F3bwdI,vivian.fZ8F3bwdI,+886925323259,16
C1sysZd8Y,tom.C1sysZd8Y,+886931603586,3
iKbkVX2dh,clara.iKbkVX2dh,+886964018556,6
eIXAwttDn,vivian.eIXAwttDn,+886935781767,15
NTLPcWJqz,rex.NTLPcWJqz,+886909100389,14
CkIj18tBI,rex.CkIj18tBI,+886925067325,5
js1GulEjp,ting.js1GulEjp,+886913642935,10
tiDSY6bwo,mark.tiDSY6bwo,+886931147024,7
rYkyeXIIX,mark.rYkyeXIIX,+886905889830,0
Un6g3MVbs,mark.Un6g3MVbs,+886974214284,14
DEY0m2oCl,mark.DEY0m2oCl,+886964154774,3
wP1v2j1nX,rex.wP1v2j1nX,+886972119637,0
eJUdVtI1W,hank.eJUdVtI1W,+886943896529,2
bTjiey6HC,kevin.bTjiey6HC,+886931398762,12
Ia9EshakR,rex.Ia9EshakR,+886905493613,4
dIxwWUfG0,kevin.dIxwWUfG0,+886916010297,18
Mfyetzb9a,hank.Mfyetzb9a,+886945518053,14
DfXbS4uO4,hank.DfXbS4uO4,+886904021594,4
GebBjrqI4,vivian.GebBjrqI4,+886948395533,17
sn63ciAo0,tom.sn63ciAo0,+886921304942,9
Z8T1tiRpL,peter.Z8T1tiRpL,+886932952952,6
CFMXpEF5N,tom.CFMXpEF5N,+886943720789,16
B31yTkBKH,mark.B31yTkBKH,+886967636297,2
k1uWZmFCU,hank.k1uWZmFCU,+886944186252,3
iq9943I3I,mark.iq9943I3I,+886919247720,0
GeDk1vfGK,rex.GeDk1vfGK,+886979228301,18
jzFOVcwvM,ting.jzFOVcwvM,+886995774866,8
BvPRgISTy,peter.BvPRgISTy,+886945041423,6
kKQii9184,mark.kKQii9184,+886966235286,5
ehZXTAOzc,ting.ehZXTAOzc,+886944523798,1
VFSjhpjrX,ting.VFSjhpjrX,+886969359145,15
FRRm6D2Fq,vivian.FRRm6D2Fq,+886922805468,8
eUShn15CK,vivian.eUShn15CK,+886953739848,17
SoYBqF4mV,peter.SoYBqF4mV,+886915673080,15
VVk27iHgn,kevin.VVk27iHgn,+886983879681,11
r5KTcicha,kevin.r5KTcicha,+886984234146,10
K73Alu3fO,hank.K73Alu3fO,+886981033706,16
MMYktaS26,vivian.MMYktaS26,+886980824541,11
tBBcMKutr,tom.tBBcMKutr,+886944017501,0
aSUEzO9mB,peter.aSUEzO9mB,+886939182816,9
l20aJd9Rp,clara.l20aJd9Rp,+886950356587,2
G5pSTaJ6U,rex.G5pSTaJ6U,+886927146857,18
bssNGkqBV,rex.bssNGkqBV,+886970143079,6
pmgsD1Rqh,vivian.pmgsD1Rqh,+886950310403,13
yxf3SI0jJ,mark.yxf3SI0jJ,+886978000554,12
f4WwPz68J,tom.f4WwPz68J,+886934677651,15
VXhXsvMuQ,mark.VXhXsvMuQ,+886940087746,8
Zksz2LBl0,mark.Zksz2LBl0,+886923933526,17
ngHGCkCxi,clara.ngHGCkCxi,+886987686479,14
BFDr8tXvc,peter.BFDr8tXvc,+886906986728,7
DnHavSSb9,tom.DnHavSSb9,+886968124544,16
tQcjfzy5s,vivian.tQcjfzy5s,+886930087521,16
TwPAZ8f2k,mark.TwPAZ8f2k,+886956594918,2
G1IJziAGa,kevin.G1IJziAGa,+886908485924,15
vun66LW6l,hank.vun66LW6l,+886955380376,6
YWwXnZDf8,clara.YWwXnZDf8,+886955229072,12
wGrCZRaFz,hank.wGrCZRaFz,+886928689831,3
LU0DhjK01,mark.LU0DhjK01,+886930346051,5
fVfTCYeNm,vivian.fVfTCYeNm,+886916730354,3
Kk44BkUES,hank.Kk44BkUES,+886917388383,17
vQArqGN27,mark.vQArqGN27,+886936210739,12
BNo2JhLRU,peter.BNo2JhLRU,+886986297668,1
Xq4BhQKNw,ting.Xq4BhQKNw,+886961946443,10
XicjCIt0y,ting.XicjCIt0y,+886939713314,7
SHFjjOO2I,clara.SHFjjOO2I,+886979197947,14
jEAy08tPq,clara.jEAy08tPq,+886940263428,17
XAuGZBsFZ,mark.XAuGZBsFZ,+886935014357,9
GBk817xMV,mark.GBk817xMV,+886925977599,12
oo1xoIb7F,rex.oo1xoIb7F,+886927764707,2
idhV0xfBe,tom.idhV0xfBe,+886949725382,18
sN3IR0PwG,hank.sN3IR0PwG,+886963992663,9
o4NhAAKg0,ting.o4NhAAKg0,+886916679081,18
kvtS0qZ1r,rex.kvtS0qZ1r,+886986237761,14
cp7ctQ6Nj,tom.cp7ctQ6Nj,+886931140030,4
SRdqqZFg2,rex.SRdqqZFg2,+886948473678,1
O8VnPhmzg,rex.O8VnPhmzg,+886921265228,15
lYY7Wjmpc,clara.lYY7Wjmpc,+886947517661,11
Ubyvm9gEB,mark.Ubyvm9gEB,+886987609326,15
kqzu6b8ly,hank.kqzu6b8ly,+886954695505,14
S4673X1AY,vivian.S4673X1AY,+886933149882,6
eLkjyljZS,peter.eLkjyljZS,+886962339970,15
u4q49g8LB,rex.u4q49g8LB,+886907834303,3
EOJ4yOes6,hank.EOJ4yOes6,+886909614586,9
xDjPNMxZZ,peter.xDjPNMxZZ,+886997199883,9
dPdLyYjVa,ting.dPdLyYjVa,+886963780685,6
sKzbo3BEz,ting.sKzbo3BEz,+886986244380,14
vjzcHe2OE,clara.vjzcHe2OE,+886982159200,16
BhQC9dxLm,mark.BhQC9dxLm,+886982131064,5
pxnzR0jVb,mark.pxnzR0jVb,+886935446923,5
Unhwdyulq,rex.Unhwdyulq,+886945606638,10
y58JfWVwM,mark.y58JfWVwM,+886953529928,6
jPcF3nly1,ting.jPcF3nly1,+886947763114,16
ejE3uxBYH,mark.ejE3uxBYH,+886928709156,1
QYYNvEQ9t,vivian.QYYNvEQ9t,+886933979205,2
FWpzAbpUN,rex.FWpzAbpUN,+886991245245,4
GgyKatCks,clara.GgyKatCks,+886922377790,4
dbz2pVJxP,mark.dbz2pVJxP,+886969094263,4
N0qoYSpZ4,mark.N0qoYSpZ4,+886923975204,13
k1CAHoQtM,peter.k1CAHoQtM,+886929127229,8
vxXrDUqAW,rex.vxXrDUqAW,+886985390948,8
rrCsm83W0,tom.rrCsm83W0,+886967765824,9
JtGrDa1Gd,clara.JtGrDa1Gd,+886915154650,9
wKW5juLd0,hank.wKW5juLd0,+886941762702,10
uHdvCHnUu,vivian.uHdvCHnUu,+886976562384,10
dEdrFnt48,mark.dEdrFnt48,+886916556593,8
OpYkaMxEs,clara.OpYkaMxEs,+886915665210,10
dwNsZZqsr,clara.dwNsZZqsr,+886930516332,6
ONrTCuy6V,tom.ONrTCuy6V,+886910408551,8
y1idUdjtZ,mark.y1idUdjtZ,+886931485157,15
pYEeymBYK,hank.pYEeymBYK,+886930573179,15
wI1Ihl0IL,tom.wI1Ihl0IL,+886943731460,7
Z5STkOfiJ,kevin.Z5STkOfiJ,+886959636766,8
otLLbeDtw,kevin.otLLbeDtw,+886928244310,6
kDfISpamr,kevin.kDfISpamr,+886964620190,7
n3oExJVhu,mark.n3oExJVhu,+886993567198,7
ztJZ1uXaJ,mark.ztJZ1uXaJ,+886947693808,14
d2pkwhDRg,tom.d2pkwhDRg,+886948787787,14
koYxxyhh8,peter.koYxxyhh8,+886964499854,4
vrGYXMlHO,kevin.vrGYXMlHO,+886915435677,12
EQ9uWjozk,vivian.EQ9uWjozk,+886940755441,12
tDPFS6IXe,peter.tDPFS6IXe,+886964021370,7
nPl2mfXHY,peter.nPl2mfXHY,+886962616191,13
xXJEWKnSL,tom.xXJEWKnSL,+886933659373,4
A6gjHq3w1,tom.A6gjHq3w1,+886915782060,1
PTjUZB48Y,clara.PTjUZB48Y,+886943721834,17
VQX4JmDii,clara.VQX4JmDii,+886910882596,3
NfzFo5wPh,mark.NfzFo5wPh,+886915712055,19
